,palavra,doc|ocorrencia
51,processo,"[(1, 1), (3, 2), (12, 2), (14, 1), (21, 3), (25, 2), (29, 2), (32, 1), (39, 1), (40, 4), (47, 2), (60, 1), (61, 1), (63, 8), (66, 2), (75, 1), (82, 2), (88, 1), (91, 3), (98, 1), (105, 1), (106, 1), (108, 1), (110, 3), (112, 1), (117, 1), (119, 1), (120, 1), (121, 1), (124, 1), (130, 1), (137, 1), (143, 1), (144, 1), (145, 1), (148, 1), (151, 5), (153, 1), (161, 5), (162, 4), (165, 2), (171, 1), (173, 4), (188, 1), (198, 1), (201, 1), (202, 4), (210, 1), (211, 1), (217, 3), (221, 3), (223, 2), (227, 5), (232, 3), (247, 1), (248, 1)]"
52,reconstrução,"[(1, 1), (108, 1), (182, 1), (212, 1), (248, 1)]"
53,democrática,"[(1, 1), (25, 1), (29, 1), (69, 1), (112, 1), (151, 1), (158, 1), (160, 1), (165, 1), (173, 2), (185, 1)]"
54,promovido,"[(1, 1), (151, 1), (169, 1), (214, 1), (223, 1)]"
55,constituição,"[(1, 1), (37, 1), (63, 1), (95, 1), (100, 1), (151, 1), (160, 1), (166, 1), (171, 3), (172, 1), (173, 4), (205, 1), (209, 4), (213, 2), (225, 1), (229, 1), (231, 1), (233, 2), (235, 2), (240, 1), (248, 1)]"
56,desobedece,"[(1, 2)]"
57,princípio,"[(1, 2), (28, 1), (90, 2), (97, 1), (109, 1), (141, 1), (143, 1), (173, 1)]"
58,prevalência,"[(1, 2), (123, 1)]"
59,direitos,"[(1, 3), (3, 1), (8, 1), (16, 1), (18, 1), (20, 1), (26, 1), (29, 2), (33, 4), (47, 1), (55, 1), (76, 2), (77, 1), (88, 1), (93, 1), (95, 1), (101, 2), (115, 1), (117, 4), (120, 1), (125, 2), (146, 1), (151, 1), (153, 4), (158, 3), (161, 1), (165, 2), (166, 3), (169, 1), (171, 2), (172, 1), (173, 2), (185, 3), (191, 3), (200, 1), (210, 1), (213, 1), (218, 1), (223, 1), (233, 1), (242, 1), (245, 1), (248, 1)]"
60,humanos,"[(1, 3), (8, 1), (18, 1), (26, 1), (29, 2), (87, 1), (93, 1), (95, 1), (101, 1), (102, 1), (117, 3), (153, 2), (165, 1), (166, 1), (169, 1), (172, 1), (173, 1), (179, 1), (184, 1), (194, 1), (210, 1), (213, 1), (218, 1), (223, 1), (232, 1), (245, 1)]"
61,ignora,"[(1, 1), (221, 2)]"
62,decisão,"[(1, 3), (2, 2), (5, 2), (8, 2), (17, 1), (21, 1), (29, 2), (34, 1), (47, 1), (49, 1), (63, 1), (64, 2), (65, 1), (69, 1), (77, 3), (88, 1), (103, 3), (105, 1), (106, 1), (107, 1), (126, 2), (133, 2), (138, 1), (163, 1), (165, 2), (184, 1), (202, 6), (206, 11), (208, 4), (220, 2), (229, 2), (233, 1), (242, 1)]"
63,corte,"[(1, 2), (19, 1), (20, 1), (24, 1), (63, 3), (103, 2), (106, 1), (115, 1), (136, 1), (146, 1), (169, 1), (175, 1), (177, 2), (183, 2), (223, 2), (244, 1)]"
64,interamericana,"[(1, 1), (223, 1)]"
65,condenou,"[(1, 1), (29, 1), (105, 1), (161, 1), (223, 1), (224, 1)]"
66,brasileiro,"[(1, 1), (6, 1), (8, 3), (18, 2), (19, 2), (21, 2), (22, 2), (25, 1), (26, 2), (27, 1), (42, 4), (50, 1), (55, 3), (58, 2), (60, 1), (68, 1), (71, 2), (73, 3), (76, 1), (95, 1), (105, 5), (111, 2), (115, 4), (116, 1), (121, 1), (127, 2), (131, 2), (134, 1), (139, 3), (151, 1), (158, 1), (160, 1), (162, 1), (164, 4), (165, 2), (166, 4), (168, 2), (172, 1), (173, 1), (174, 4), (201, 1), (204, 2), (207, 1), (210, 3), (215, 2), (217, 2), (218, 1), (220, 1), (223, 1), (224, 3), (225, 1), (230, 2), (231, 1), (237, 1), (238, 1)]"
67,apurar,"[(1, 1), (214, 1), (223, 1)]"
68,julgar,"[(1, 1), (103, 1), (138, 1), (241, 1)]"
69,responsáveis,"[(1, 1), (16, 2), (64, 1), (104, 1), (114, 1), (124, 1), (125, 1), (132, 1), (138, 1), (151, 1), (165, 1), (169, 1), (171, 1), (179, 1), (185, 1), (207, 1), (220, 1), (222, 1)]"
70,morte,"[(1, 1), (6, 2), (7, 5), (15, 3), (22, 1), (29, 1), (31, 2), (63, 1), (78, 1), (97, 1), (112, 2), (117, 3), (150, 1), (151, 5), (154, 1), (159, 1), (161, 1), (165, 1), (166, 1), (174, 1), (177, 1), (181, 1), (184, 4), (187, 1), (194, 2), (195, 5), (199, 1), (200, 1), (212, 4), (216, 1), (223, 5), (226, 4), (238, 1), (241, 2), (244, 3), (246, 1), (249, 1)]"
71,jornalista,"[(1, 1), (4, 2), (6, 4), (7, 1), (9, 1), (11, 2), (19, 1), (36, 1), (59, 1), (79, 1), (104, 1), (114, 1), (148, 1), (149, 1), (189, 1), (193, 1), (195, 2), (211, 1), (212, 6), (223, 3), (224, 5), (238, 1)]"
72,vladimir,"[(1, 2), (6, 1), (65, 1), (86, 1), (99, 1), (166, 1), (238, 1)]"
73,herzog,"[(1, 2), (6, 1), (223, 2), (238, 1)]"
74,magistrada,"[(1, 1)]"
75,pontua,"[(1, 1), (101, 1)]"
76,datas,"[(1, 1), (63, 1), (172, 1), (178, 1), (207, 1), (212, 1), (238, 1)]"
77,comemorativas,"[(1, 1)]"
78,devem,"[(1, 1), (11, 1), (23, 1), (33, 3), (42, 1), (43, 1), (52, 1), (61, 1), (64, 1), (78, 1), (80, 1), (90, 1), (92, 1), (94, 1), (99, 1), (122, 2), (135, 2), (143, 1), (146, 1), (151, 2), (152, 1), (153, 4), (157, 1), (161, 1), (163, 1), (185, 2), (186, 1), (206, 1), (211, 2), (239, 1)]"
